truly,impressive,2,4,7,14,11,16,32,32,32,65
completely,hilarious,0,0,0,2,3,2,12,21,17,44
most,thrilling,3,4,9,9,9,18,33,57,65,154
otherwise,decent,10,2,6,7,4,9,11,1,3,2
very,rich,27,13,27,23,35,62,118,184,113,226
actually,more,4,4,8,14,19,30,31,30,31,35
too,interested,9,7,11,14,18,34,31,29,16,34
even,deep,10,4,3,0,8,9,11,31,31,67
instantly,recognizable,5,3,7,5,8,17,20,32,31,42
pretty,sure,230,113,125,102,112,137,242,223,192,358
amazingly,bad,80,27,18,5,7,11,5,6,5,7
really,nice,83,53,72,88,120,194,327,438,306,561
more,limited,5,1,7,5,12,19,25,16,9,15
squeaky,clean,14,13,9,22,26,24,52,58,45,52
more,authentic,14,11,15,19,19,35,64,72,72,70
rather,dark,2,2,5,12,14,29,34,67,54,56
most,unconvincing,26,19,15,14,15,13,10,6,2,2
somewhat,sad,2,0,1,1,2,5,8,21,8,27
absolutely,correct,13,2,1,3,6,2,12,10,11,22
quite,capable,12,10,6,8,20,10,31,25,24,23
not,english,12,2,5,2,5,10,7,22,6,20
more,watchable,40,35,55,47,56,68,56,51,31,49
pretty,poor,82,67,135,136,109,123,77,65,44,43
pretty,lame,108,100,131,153,196,156,112,99,44,69
also,poor,19,10,7,8,7,6,5,2,2,3
really,corny,21,10,13,9,19,21,27,26,18,21
even,most,20,4,10,11,7,10,18,18,22,39
more,clever,33,19,25,19,30,41,62,70,44,68
completely,uninteresting,43,23,19,21,18,6,2,4,3,1
compulsively,watchable,1,1,2,0,3,6,13,11,12,13
so,special,86,42,35,46,55,77,98,177,194,492
least,important,0,2,9,2,6,7,2,8,18,16
incredibly,fake,18,14,10,7,11,7,12,2,4,2
most,unpleasant,25,11,8,6,11,11,7,19,9,13
more,awesome,4,2,1,3,3,4,7,8,10,24
always,interesting,16,18,14,28,70,95,158,231,111,154
still,exciting,1,0,1,0,3,10,23,32,16,25
quite,plausible,3,1,2,2,3,2,10,11,12,10
well,enough,79,51,66,83,135,218,218,165,118,112
just,insane,6,4,6,6,7,7,9,7,8,15
also,worthy,4,3,2,3,4,9,24,54,41,58
somewhat,dark,5,3,3,4,3,13,26,32,21,55
really,unnecessary,9,9,11,16,18,13,13,25,10,11
really,brilliant,8,1,8,4,4,24,26,48,52,95
extremely,sexy,4,3,3,5,10,17,37,35,22,32
not,dead,43,21,28,24,50,56,76,104,67,146
so,genuine,2,0,2,0,5,7,17,30,43,111
not,amazing,10,7,11,12,19,44,70,56,17,35
almost,funny,69,34,26,17,22,19,19,15,13,17
totally,sure,6,1,6,2,5,8,14,12,5,15
very,same,97,53,68,59,92,128,164,230,153,274
very,eager,7,8,12,8,14,19,30,21,17,27
so,miserable,12,4,3,3,3,4,6,7,14,4
too,dangerous,7,5,4,9,13,14,25,36,25,31
so,simplistic,17,9,6,7,9,9,8,5,4,14
very,frank,0,1,0,1,1,6,13,5,10,17
so,many,6385,2800,3056,2967,3689,4298,5862,8090,8529,19187
close,enough,19,15,18,16,22,27,55,74,45,103
much,high,77,36,50,49,79,121,142,157,144,254
so,creative,4,6,2,0,3,2,15,32,21,85
very,few,580,322,391,416,444,593,839,1205,1244,2529
actually,true,11,4,8,5,9,20,13,26,20,27
so,loud,76,23,29,26,34,18,37,49,49,116
quite,perfect,1,0,1,2,2,6,26,27,32,41
quite,possible,42,11,12,8,18,32,48,35,55,102
virtually,unknown,6,5,5,11,8,17,26,40,42,72
very,early,38,25,37,52,70,97,149,169,115,213
easily,able,6,1,0,0,1,8,6,15,5,11
most,sinister,4,1,0,1,2,3,8,15,9,35
reasonably,enjoyable,3,1,3,3,13,28,15,3,2,0
more,focused,8,2,7,12,18,45,42,28,25,35
more,shallow,8,3,3,3,4,7,9,9,5,5
very,own,48,27,26,25,27,66,96,152,125,269
really,embarrassing,14,7,5,4,6,2,5,3,2,3
really,shocked,4,1,3,1,3,1,5,6,10,16
yet,ready,3,2,1,7,3,5,11,15,11,19
totally,cool,16,3,5,5,6,7,21,27,33,93
much,close,31,16,32,22,32,49,74,102,104,124
so,formulaic,20,7,11,20,7,15,10,7,4,7
not,crazy,14,10,16,10,17,45,48,60,45,93
very,painful,86,33,22,21,18,13,37,51,43,68
so,diverse,2,0,0,1,0,3,12,4,12,27
very,quiet,16,7,14,10,23,33,55,78,64,104
not,boring,21,13,31,38,64,107,113,127,97,189
too,tired,25,20,18,25,25,22,26,21,17,35
so,awful,689,155,109,65,67,48,54,43,31,68
painfully,funny,5,1,2,1,2,3,7,12,17,18
incredibly,annoying,36,15,11,10,9,15,12,8,3,5
intentionally,funny,21,8,6,5,12,20,19,15,11,21
pretty,funny,163,106,161,213,332,576,797,632,284,452
not,full,19,6,5,7,24,16,35,50,31,93
always,worth,12,21,25,19,56,61,67,74,41,62
generally,good,28,15,38,42,76,120,182,146,60,59
rather,intriguing,4,4,2,4,9,9,9,4,10,2
most,important,474,199,296,268,426,630,999,1475,1494,3244
more,distant,1,1,2,2,3,4,8,8,7,18
as,many,403,184,198,245,324,457,649,715,592,1094
most,acclaimed,2,1,4,1,9,7,10,10,27,36
more,spectacular,6,0,6,9,13,23,43,54,37,83
so,lovable,7,3,4,5,5,9,23,42,30,109
best,known,3,3,1,1,3,5,9,12,8,16
so,disgusted,25,6,4,1,2,0,2,2,2,7
just,lame,106,49,50,51,40,20,21,14,4,10
quite,cool,16,25,23,32,36,45,51,49,21,32
well,trained,4,5,4,11,7,5,5,14,4,13
very,fresh,2,3,7,8,9,19,48,75,67,108
more,tolerable,21,16,15,16,28,16,22,11,12,12
pretty,disappointed,6,9,14,8,29,30,13,10,2,7
